SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,93-95 Girard Pl,Newark,NJ,07108,199000,4,1.5,Newark,,5493,,55,,,Active,,,http://www.redfin.com/NJ/Newark/93-Girard-Pl-07108/home/36280411,NJMLS,21000985,N,Y,40.720166,-74.214161
MLS Listing,,Single Family Residential,42 ISABELLA Ave,Newark City,NJ,07106-2027,315000,4,1.5,Newark City,,2613,1915,55,,,Active,,,http://www.redfin.com/NJ/Newark/42-Isabella-Ave-07106/home/36292859,GSMLS,3686192,N,Y,40.743549,-74.220063
MLS Listing,,Multi-Family (2-4 Unit),146 Delmar Pl,Irvington,NJ,07111,275000,5,2.0,Irvington,,3746,,57,,,Active,,,http://www.redfin.com/NJ/Irvington/146-Delmar-Pl-07111/home/36170750,NJMLS,21000771,N,Y,40.7362051,-74.2265762
MLS Listing,,Condo/Co-op,201 DEY St #168,Harrison,NJ,07029,399999,2,2.0,Harrison,1365,,,57,293,353,Active,,,http://www.redfin.com/NJ/Harrison/201-Dey-St-07029/unit-168/home/36432729,HCMLS,210000519,N,Y,40.7438508,-74.1640441
MLS Listing,,Multi-Family (2-4 Unit),4 MILLINGTON Ave,Newark City,NJ,07108-1418,375000,8,3.5,Clinton Hills,4000,3049,1900,59,94,,Active,,,http://www.redfin.com/NJ/Newark/4-Millington-Ave-07108/home/36278907,GSMLS,3685559,N,Y,40.719608,-74.207168
MLS Listing,,Condo/Co-op,31 Valsumo Ln #31,Newark,NJ,07105,334900,4,2.5,Newark,2088,,,59,160,,Active,,,http://www.redfin.com/NJ/Newark/31-Valsumo-Ln-07105/unit-31/home/171166906,NJMLS,21000451,N,Y,40.7298241,-74.1488818
MLS Listing,,Multi-Family (2-4 Unit),62-64 Chambers St,Newark,NJ,07105,929000,9,7.0,Newark,,3798,,59,,,Active,,,http://www.redfin.com/NJ/Newark/62-Chambers-St-07105/home/36266740,NJMLS,21000440,N,Y,40.730465,-74.1522797
MLS Listing,,Single Family Residential,72 HOUSTON St,Newark City,NJ,07105-3112,297000,3,2.0,Ironbound,,1742,,59,,,Active,,,http://www.redfin.com/NJ/Newark/72-Houston-St-07105/home/36255344,GSMLS,3685508,N,Y,40.7227323,-74.1535971
MLS Listing,,Multi-Family (2-4 Unit),882 S 17th St,Newark,NJ,07108,351944,7,3.0,Newark,,2500,,60,,,Active,,,http://www.redfin.com/NJ/Newark/882-S-17th-St-07108/home/36277300,NJMLS,21000286,N,Y,40.7250416,-74.2130488
MLS Listing,,Multi-Family (2-4 Unit),676 Hunterdon St,Newark,NJ,07108,375000,7,3.0,Newark,,,,62,,,Active,,,http://www.redfin.com/NJ/Newark/676-Hunterdon-St-07108/home/36274696,NJMLS,21000099,N,Y,40.7201163,-74.1993829
MLS Listing,,Multi-Family (2-4 Unit),264 SEYMOUR Ave,Newark City,NJ,07108-1516,395950,8,3.0,Newark City,3108,3049,1910,62,127,,Active,,,http://www.redfin.com/NJ/Newark-City/264-SEYMOUR-AVE-07108/home/174104934,GSMLS,3685043,N,Y,40.722962,-74.201725
MLS Listing,,Multi-Family (2-4 Unit),77 Pierce St,Newark,NJ,07103,420000,9,3.0,Newark,,2801,,64,,,Active,,,http://www.redfin.com/NJ/Newark/77-Pierce-St-07103/home/36271940,NJMLS,20052586,N,Y,40.7288183,-74.2085548
MLS Listing,,Multi-Family (2-4 Unit),71 Seymour Ave,Newark,NJ,07108,395950,6,3.0,Newark,,2484,,64,,,Active,,,http://www.redfin.com/NJ/Newark/71-Seymour-Ave-07108/home/36275599,NJMLS,20052584,N,Y,40.7229938,-74.201997
MLS Listing,,Multi-Family (2-4 Unit),64 Homestead Park,Newark,NJ,07108,390000,7,3.0,Newark,,4025,,64,,,Active,,,http://www.redfin.com/NJ/Newark/64-Homestead-Park-07108/home/36280312,NJMLS,20052579,N,Y,40.7195929,-74.2130488
MLS Listing,,Single Family Residential,9 PARKVIEW Ter,Newark City,NJ,07112-2019,249900,4,1.5,Newark City,,3920,1917,64,,,Active,,,http://www.redfin.com/NJ/Newark/9-Parkview-Ter-07112/home/36286235,GSMLS,3684843,N,Y,40.7095863,-74.2105152
MLS Listing,,Multi-Family (2-4 Unit),46 FABYAN Pl,Newark City,NJ,07108-1025,455000,12,3.0,Newark City,2100,3484,1930,66,217,,Active,,,http://www.redfin.com/NJ/Newark/46-Fabyan-Pl-07108/home/36281937,GSMLS,3684645,N,Y,40.7216198,-74.2159378
MLS Listing,,Multi-Family (2-4 Unit),232 S 6TH St,Newark City,NJ,07103-2446,399000,7,3.0,Newark City,,2178,1940,66,,,Active,,,http://www.redfin.com/NJ/Newark/232-S-6th-St-07103/home/36256630,GSMLS,3684581,N,Y,40.7399191,-74.1967525
MLS Listing,,Single Family Residential,84 LONGFELLOW Ave,Newark City,NJ,07106-1502,310000,4,1.5,Upper Vailsburg,,3484,1925,67,,,Active,,,http://www.redfin.com/NJ/Newark/84-Longfellow-Ave-07106/home/36303223,GSMLS,3684571,N,Y,40.7484446,-74.2353799
MLS Listing,,Multi-Family (2-4 Unit),186 Custer Ave,Newark,NJ,07112,599900,0,,Newark,,2888,,67,,,Active,,,http://www.redfin.com/NJ/Newark/186-Custer-Ave-07112/home/36069345,CJMLS,2110247,N,Y,40.7125078,-74.2073276
MLS Listing,,Multi-Family (2-4 Unit),188 Custer Ave,Newark,NJ,07112,599900,0,,Newark,4060,2500,,67,148,,Active,,,http://www.redfin.com/NJ/Newark/188-Custer-Ave-07112/home/36282799,CJMLS,2110246,N,Y,40.7125451,-74.207351
MLS Listing,,Multi-Family (2-4 Unit),28 Pierce St,Newark,NJ,07103,299000,2,2.0,Newark,,2252,,67,,,Active,,,http://www.redfin.com/NJ/Newark/28-Pierce-St-07103/home/36271791,NJMLS,20052363,N,Y,40.7302501,-74.2075345
MLS Listing,,Multi-Family (2-4 Unit),21 ADAMS St,Newark City,NJ,07105-2303,490000,4,2.0,Newark City,19998,2178,,71,25,,Active,,,http://www.redfin.com/NJ/Newark/21-Adams-St-07105/home/36267139,GSMLS,3684322,N,Y,40.7314553,-74.1567737
MLS Listing,,Multi-Family (2-4 Unit),137 HILLSIDE Ave,Newark City,NJ,07108-2409,550000,8,5.0,Newark City,,3049,2006,71,,,Active,,,http://www.redfin.com/NJ/Newark/137-Hillside-Ave-07108/home/36274248,GSMLS,3684277,N,Y,40.7185991,-74.1937879
MLS Listing,,Single Family Residential,85 LESLIE St,Newark City,NJ,07108-1018,340000,4,3.0,Newark City,,4791,,72,,,Active,,,http://www.redfin.com/NJ/Newark/85-Leslie-St-07108/home/36282043,GSMLS,3684260,N,Y,40.7204314,-74.2150709
